Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID
CNG,Alagasco Tuscaloosa Operations Center,5220 Metro Park Dr,,Tuscaloosa,AL,35405,,,E,,Private access only,,,,B,3600,,,,,,,200-8,33.161768,-87.55676,2011-08-31,14
CNG,Alagasco Montgomery Operations Center,2951 Chestnut St,,Montgomery,AL,36107,,,E,,Private access only,,,,B,3600,,,,,,,200-8,32.3671634,-86.2673957,2011-08-31,17
CNG,Fort Gordon,105th Ave,Building 61300,Fort Gordon,GA,30905,,,E,,Private - government only,,,,,,,,,,,,200-6,33.4134459,-82.1760442,2011-10-31,25
CNG,Clayton County Fleet Maintenace,1348 Government Cir,I-75 south of Atlanta to State Route 138,Jonesboro,GA,30236,5907,,E,,Private - government only,,,,Q,3000,,,,,,,200-8,33.5357245,-84.3468952,2011-06-30,40
CNG,Clean Energy - PS Energy - UFO,340 Whitehall St SW,"From I-7585 N, exit 91 to Central Avenue, left on Memorial, left on Whitehall, station on left",Atlanta,GA,30303,3718,404-321-5711,E,,Private - fleet customers only,Contact Andrea Whisenhunt at 404-321-5711 for access; Comdata also accepted,FuelMan Voyager Wright_Exp,,Q,3000,,,,,,,200-8,33.7454738,-84.4000209,2011-06-30,42
CNG,Metropolitan Atlanta Rapid Transit Authority,2424 Piedmont Rd NE,,Atlanta,GA,30324,3330,404-848-5557,E,,Private - government only,,,,Q,3000,,,,,,,200-8,33.8236796,-84.3691579,2011-06-30,45
CNG,City of Macon Transportation Center,1122 7th St,,Macon,GA,31206,1028,478-751-9106,E,,Private - fleet customers only,,,,Q,3600,,,,,,,200-8,32.8234272,-83.6279255,2011-06-30,54
CNG,University of Georgia,205 Riverbend Rd,,Athens,GA,30602,4695,,E,,Private access only,,,,B,3000,,,,,,,200-8,33.9294993,-83.3674071,2011-06-30,59
CNG,United Parcel Service - Atlanta,270 Marvin Miller Dr,,Atlanta,GA,30336,,,E,,Private - fleet customers only,,,,Q,3000,,,,,,,200-8,33.758746,-84.539863,2011-06-30,64
CNG,Clean Energy - Texas Department of Transportation,7721A Washington Ave,"I-10, Washington Avenue exit, 1.5 blocks to station on left",Houston,TX,77007,1037,866-278-3674,E,,Public - credit card at all times,24 hours daily,M V Voyager CleanEnergy Wright_Exp,,Q,3000,,,,,,,200-8,29.779156,-95.433938,2011-06-30,72
CNG,Arkansas Oklahoma Gas Corp,2100 S Waldron Rd,,Fort Smith,AR,72901,,479-783-3181,E,,Public - credit card at all times,24 hours daily,M V Wright_Exp,,B,3000 3600,,,,,,,200-8,35.362856,-94.3728833,2011-08-31,73
CNG,Alternative Vehicle Service Group - Logan International Airport,81 N Service Rd,"From Route 1, take the first exit after Callahan Tunnel",East Boston,MA,02128,2026,617-242-8755,E,,Public - card key at all times,24 hours daily,Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,42.3705924,-71.0258268,2011-03-31,81
CNG,Clean Energy - National Grid West Roxbury,201 Rivermoor St,,West Roxbury,MA,02132,,800-233-5325,E,,Public - credit card at all times,24 hours daily,"D M V Wright_Exp, CleanEnergy",,Q,3000 3600,,,,,,,200-8,42.2788899,-71.180333,2011-06-30,83
CNG,Clean Energy - National Grid Everett,14 Rover St,"Route 16, exit to Route 99, to Dexter Street to Rover. Or Route 99 to Robin Street, to Rover Street",Everett,MA,02149,5514,800-233-5325,E,,Public - credit card at all times,24 hours daily; debit cards not accepted,M V Wright_Exp PHH,,Q,3000 3600,,,,,,,200-8,42.393191,-71.0643939,2011-06-30,84
CNG,Maryland Department of General Services,301 W Preston St,,Baltimore,MD,21201,,,E,,Private - government only,,,,Q,3000,,,,,,,200-8,39.301951,-76.622804,2011-09-30,94
CNG,Baltimore Washington International Airport - Maryland Department of General Services,131 Aaronson Dr,,Baltimore,MD,21240,0755,,E,,Private - government only,,,,Q,3000,,,,,,,200-5,39.1769806,-76.6701475,2011-09-30,97
CNG,Clean Energy - National Grid Staten Island Service Center,200 Gulf Ave,"From I-278, exit onto Gulf Avenue S, station on left. Or from Staten Island Expressway, exit to Western Avenue S and left onto Gulf Avenue, station on right",Staten Island,NY,10303,1439,718-982-7354,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.624892,-74.179,2011-06-30,103
CNG,National Grid - Port Authority of New York and New Jersey,John F Kennedy Airport,"I-678 or Belt Parkway or Van Wyck Expressway to Airport, follow signs",Queens,NY,11201,,718-963-5495,E,,Public - card key at all times,24 hours daily; contact station to arrange for card key,,,Q,3000 3600,,,,,,,GPS,40.645397,-73.786717,2011-11-30,106
CNG,Clean Energy - National Grid Greenpoint Energy Center,287 Maspeth Ave,"I-278/Brooklyn Queens Expressway, exit onto Vandervoort Avenue S, left onto Maspeth Avenue, station is on the left",Brooklyn,NY,11211,1788,718-963-5495,E,,Public - credit card at all times,24 hours daily,D M V Voyager Wright_Exp CleanEnergy,,Q,3000 3600,,,,,,,200-8,40.7180699,-73.9315168,2011-06-30,108
